year,region,sector,fuel_type,emissions_mt,gdp_billion,population_million
1990,Asia-Pacific,Energy,Coal,1173.7,18000,4200
1990,Asia-Pacific,Energy,Oil,1041.5,18000,4200
1990,Asia-Pacific,Energy,Natural Gas,708.1,18000,4200
1990,Asia-Pacific,Energy,Renewables,155.9,18000,4200
1990,Asia-Pacific,Energy,Nuclear,96.1,18000,4200
1990,Asia-Pacific,Industry,Coal,654.3,18000,4200
1990,Asia-Pacific,Industry,Oil,560,18000,4200
1990,Asia-Pacific,Industry,Natural Gas,379.6,18000,4200
1990,Asia-Pacific,Industry,Renewables,86.7,18000,4200
1990,Asia-Pacific,Industry,Nuclear,52.4,18000,4200
1990,Asia-Pacific,Transport,Coal,601.4,18000,4200
1990,Asia-Pacific,Transport,Oil,497,18000,4200
1990,Asia-Pacific,Transport,Natural Gas,353.8,18000,4200
1990,Asia-Pacific,Transport,Renewables,78.1,18000,4200
1990,Asia-Pacific,Transport,Nuclear,48.1,18000,4200
1990,Asia-Pacific,Buildings,Coal,296.7,18000,4200
1990,Asia-Pacific,Buildings,Oil,247.8,18000,4200
1990,Asia-Pacific,Buildings,Natural Gas,176.8,18000,4200
1990,Asia-Pacific,Buildings,Renewables,40.9,18000,4200
1990,Asia-Pacific,Buildings,Nuclear,23.1,18000,4200
1990,Asia-Pacific,Agriculture,Coal,247.4,18000,4200
1990,Asia-Pacific,Agriculture,Oil,198.6,18000,4200
1990,Asia-Pacific,Agriculture,Natural Gas,142.3,18000,4200
1990,Asia-Pacific,Agriculture,Renewables,32.1,18000,4200
1990,Asia-Pacific,Agriculture,Nuclear,19.8,18000,4200
1991,Asia-Pacific,Energy,Coal,1201.9,18990,4233.6
1991,Asia-Pacific,Energy,Oil,1093.4,18990,4233.6
1991,Asia-Pacific,Energy,Natural Gas,728.3,18990,4233.6
1991,Asia-Pacific,Energy,Renewables,274.7,18990,4233.6
1991,Asia-Pacific,Energy,Nuclear,104.7,18990,4233.6
1991,Asia-Pacific,Industry,Coal,663,18990,4233.6
1991,Asia-Pacific,Industry,Oil,601.7,18990,4233.6
1991,Asia-Pacific,Industry,Natural Gas,421.2,18990,4233.6
1991,Asia-Pacific,Industry,Renewables,152.3,18990,4233.6
1991,Asia-Pacific,Industry,Nuclear,56.7,18990,4233.6
1991,Asia-Pacific,Transport,Coal,615.2,18990,4233.6
1991,Asia-Pacific,Transport,Oil,520.8,18990,4233.6
1991,Asia-Pacific,Transport,Natural Gas,363.5,18990,4233.6
1991,Asia-Pacific,Transport,Renewables,140.1,18990,4233.6
1991,Asia-Pacific,Transport,Nuclear,49.9,18990,4233.6
1991,Asia-Pacific,Buildings,Coal,320.7,18990,4233.6
1991,Asia-Pacific,Buildings,Oil,261.2,18990,4233.6
1991,Asia-Pacific,Buildings,Natural Gas,180,18990,4233.6
1991,Asia-Pacific,Buildings,Renewables,72.5,18990,4233.6
1991,Asia-Pacific,Buildings,Nuclear,25.6,18990,4233.6
1991,Asia-Pacific,Agriculture,Coal,257.2,18990,4233.6
1991,Asia-Pacific,Agriculture,Oil,217.6,18990,4233.6
1991,Asia-Pacific,Agriculture,Natural Gas,144.3,18990,4233.6
1991,Asia-Pacific,Agriculture,Renewables,57.3,18990,4233.6
1991,Asia-Pacific,Agriculture,Nuclear,20.1,18990,4233.6
1992,Asia-Pacific,Energy,Coal,1257,20034,4267.5
1992,Asia-Pacific,Energy,Oil,1094.3,20034,4267.5
1992,Asia-Pacific,Energy,Natural Gas,792.3,20034,4267.5
1992,Asia-Pacific,Energy,Renewables,401.6,20034,4267.5
1992,Asia-Pacific,Energy,Nuclear,113.8,20034,4267.5
1992,Asia-Pacific,Industry,Coal,669,20034,4267.5
1992,Asia-Pacific,Industry,Oil,591.1,20034,4267.5
1992,Asia-Pacific,Industry,Natural Gas,431.4,20034,4267.5
1992,Asia-Pacific,Industry,Renewables,219.3,20034,4267.5
1992,Asia-Pacific,Industry,Nuclear,62.2,20034,4267.5
1992,Asia-Pacific,Transport,Coal,620,20034,4267.5
1992,Asia-Pacific,Transport,Oil,527.8,20034,4267.5
1992,Asia-Pacific,Transport,Natural Gas,396.8,20034,4267.5
1992,Asia-Pacific,Transport,Renewables,215.4,20034,4267.5
1992,Asia-Pacific,Transport,Nuclear,56.7,20034,4267.5
1992,Asia-Pacific,Buildings,Coal,306.6,20034,4267.5
1992,Asia-Pacific,Buildings,Oil,281.2,20034,4267.5
1992,Asia-Pacific,Buildings,Natural Gas,190.6,20034,4267.5
1992,Asia-Pacific,Buildings,Renewables,102.4,20034,4267.5
1992,Asia-Pacific,Buildings,Nuclear,26.9,20034,4267.5
1992,Asia-Pacific,Agriculture,Coal,245.9,20034,4267.5
1992,Asia-Pacific,Agriculture,Oil,225.6,20034,4267.5
1992,Asia-Pacific,Agriculture,Natural Gas,159,20034,4267.5
1992,Asia-Pacific,Agriculture,Renewables,85,20034,4267.5
1992,Asia-Pacific,Agriculture,Nuclear,21.3,20034,4267.5
1993,Asia-Pacific,Energy,Coal,1262.7,21136,4301.6
