year,country,energy_source,production_twh,capacity_gw,investment_billion_usd,jobs_thousands,co2_intensity_gco2_kwh
2005,USA,Coal,2040.4,423.5,268.01,503.2,803
2005,USA,Natural Gas,1528.7,436.27,131.34,175.3,481
2005,USA,Oil & Gas,500.9,163.37,52.76,81,655
2005,USA,Hydropower,315.3,94.72,84.21,94.4,4
2005,USA,Nuclear,782.2,111.62,340.13,281.1,12
2005,USA,Wind,97.8,39.87,19.18,136.7,11
2005,USA,Solar,20.5,13.77,3.16,68.7,46
2006,USA,Coal,1984.8,411.96,249.53,493.3,832
2006,USA,Natural Gas,1470.1,419.55,122.43,171.8,480
2006,USA,Oil & Gas,493.2,160.86,50.79,78.4,643
2006,USA,Hydropower,326.1,97.96,86.22,101.3,4
2006,USA,Nuclear,783.6,111.82,324.3,289.4,12
2006,USA,Wind,109,44.44,20.11,154.9,11
2006,USA,Solar,23.3,15.65,3.81,77,45
2007,USA,Coal,1924.5,399.44,253.12,497.2,805
2007,USA,Natural Gas,1565.3,446.72,128.09,177.1,498
2007,USA,Oil & Gas,508.8,165.95,52.21,86.1,663
2007,USA,Hydropower,323.7,97.24,84.92,97.5,4
2007,USA,Nuclear,821,117.15,350.56,288.9,12
2007,USA,Wind,124.6,50.8,24.64,177.4,11
2007,USA,Solar,28.5,19.14,4.58,95.1,44
2008,USA,Coal,1875.9,389.35,235.71,465.6,832
2008,USA,Natural Gas,1572.4,448.74,137.08,174.2,481
2008,USA,Oil & Gas,511.3,166.76,52.34,84.9,654
2008,USA,Hydropower,320.5,96.28,83.15,95.5,4
2008,USA,Nuclear,799.2,114.04,349.91,290.5,12
2008,USA,Wind,137.9,56.22,26.02,195,11
2008,USA,Solar,34.1,22.9,5.44,117.6,44
2009,USA,Coal,1855.2,385.06,238.18,475.5,833
2009,USA,Natural Gas,1552.8,443.15,132.04,170.9,485
2009,USA,Oil & Gas,502.9,164.02,52.13,84.9,649
2009,USA,Hydropower,335.8,100.88,86.88,101.8,4
2009,USA,Nuclear,840.1,119.88,345.2,310.9,12
2009,USA,Wind,147.8,60.26,27.51,221.4,11
2009,USA,Solar,41.3,27.73,6.34,133.3,46
2010,USA,Coal,1937.7,402.18,237.96,497.8,810
2010,USA,Natural Gas,1591.4,454.17,137.89,186.5,486
2010,USA,Oil & Gas,492.1,160.5,50.37,81.2,661
2010,USA,Hydropower,326,97.93,86.33,99.6,4
2010,USA,Nuclear,843.3,120.33,370.02,290.7,12
2010,USA,Wind,172.2,70.21,32.11,238.4,11
2010,USA,Solar,50.3,33.78,7.55,164.1,44
2011,USA,Coal,1818.9,377.52,231.81,460.4,837
2011,USA,Natural Gas,1538,438.93,123.28,169,478
2011,USA,Oil & Gas,503.6,164.25,51.92,78.6,648
2011,USA,Hydropower,330.5,99.29,87.72,96.9,4
2011,USA,Nuclear,839,119.72,358.35,293.5,12
2011,USA,Wind,191.8,78.2,34.65,263.6,11
2011,USA,Solar,58.4,39.22,9.43,202.7,46
2012,USA,Coal,1855.8,385.18,228.04,479.3,808
2012,USA,Natural Gas,1584.3,452.14,131.26,178.6,487
2012,USA,Oil & Gas,512.6,167.19,52.76,81.9,650
2012,USA,Hydropower,328.6,98.71,86.69,100.9,4
2012,USA,Nuclear,808.3,115.34,350.62,282.4,12
2012,USA,Wind,207.3,84.52,39.5,288.6,11
2012,USA,Solar,71,47.68,11.2,249.3,46
2013,USA,Coal,1821.6,378.08,227.5,453.2,826
2013,USA,Natural Gas,1569,447.77,130.83,174.4,488
2013,USA,Oil & Gas,518.7,169.18,52.3,84.8,639
2013,USA,Hydropower,340.3,102.23,92.31,98.4,4
2013,USA,Nuclear,842,120.15,351.89,303.6,12
2013,USA,Wind,234.1,95.44,45.02,326.3,11
2013,USA,Solar,87.3,58.62,13.27,307,46
2014,USA,Coal,1801.9,373.99,221.65,445.2,826
2014,USA,Natural Gas,1598.3,456.14,128.7,177.2,481
2014,USA,Oil & Gas,510.2,166.41,54.27,80.8,662
2014,USA,Hydropower,352.7,105.95,92.81,101.5,4
2014,USA,Nuclear,830.8,118.55,361.05,285.4,12
2014,USA,Wind,249,101.52,46.26,364.2,11
2014,USA,Solar,103.5,69.5,16.62,354.9,44
2015,USA,Coal,1758.9,365.07,216.45,448.3,819
2015,USA,Natural Gas,1607.1,458.65,140.78,180.1,500
2015,USA,Oil & Gas,519.6,169.47,55.31,81.2,657
2015,USA,Hydropower,354.1,106.37,95.4,109.4,4
2015,USA,Nuclear,821.7,117.25,337.76,293.1,12
2015,USA,Wind,281.2,114.64,55.23,393.2,11
2015,USA,Solar,126.7,85.08,20.22,404.9,45
2016,USA,Coal,1754.1,364.07,212.14,439.8,811
2016,USA,Natural Gas,1613.2,460.39,133.44,185.4,478
2016,USA,Oil & Gas,511.9,166.96,55.33,85.4,636
2016,USA,Hydropower,345.5,103.79,94.19,100.5,4
2016,USA,Nuclear,865.9,123.56,373.29,294.7,12
2016,USA,Wind,332.9,135.72,64.29,486.3,11
2016,USA,Solar,162.1,108.85,26.43,521.9,45
2017,USA,Coal,1724.4,357.91,212.53,449.3,815
2017,USA,Natural Gas,1703.7,486.22,142.76,198,485
2017,USA,Oil & Gas,523.8,170.84,55.69,88.1,647
2017,USA,Hydropower,349.9,105.11,96.18,106.8,4
2017,USA,Nuclear,839.4,119.78,354.35,294.2,12
2017,USA,Wind,377.4,153.86,73.47,541.9,11
2017,USA,Solar,206.9,138.93,32.3,721,44
2018,USA,Coal,1643.5,341.12,201.47,419.1,818
2018,USA,Natural Gas,1657.2,472.95,144.58,183,490
2018,USA,Oil & Gas,522,170.25,56.22,82.6,651
2018,USA,Hydropower,343.8,103.28,88.56,105.8,4
2018,USA,Nuclear,829,118.29,352.91,309.9,12
2018,USA,Wind,433.2,176.61,78.78,591.9,11
2018,USA,Solar,264.7,177.75,41.66,910.5,46
2019,USA,Coal,1601.7,332.44,208.95,414.2,801
2019,USA,Natural Gas,1715.6,489.61,139.57,191,487
2019,USA,Oil & Gas,506.6,165.23,53.85,80.5,638
2019,USA,Hydropower,351.1,105.47,90.46,109.9,4
2019,USA,Nuclear,856.7,122.25,372.09,317.4,12
2019,USA,Wind,497.7,202.91,90.42,737.5,11
2019,USA,Solar,329.9,221.53,53.25,1118,46
2020,USA,Coal,1561.9,324.18,205.26,405,835
2020,USA,Natural Gas,1678.3,478.97,143.17,197.8,492
2020,USA,Oil & Gas,497.3,162.2,52.88,83.4,637
2020,USA,Hydropower,345.6,103.82,89.04,107.1,4
2020,USA,Nuclear,865.9,123.56,350.52,312.7,12
2020,USA,Wind,564.1,229.98,108.96,789.4,11
2020,USA,Solar,425.3,285.59,66.25,1379.8,44
2021,USA,Coal,1535.3,318.66,186.6,372.7,815
2021,USA,Natural Gas,1698.5,484.73,141.28,201.5,480
2021,USA,Oil & Gas,517.9,168.92,52.62,82.7,656
2021,USA,Hydropower,350.1,105.17,90.82,104.7,4
2021,USA,Nuclear,854.9,121.99,358.52,291.5,12
2021,USA,Wind,644.7,262.84,122.9,892.4,11
2021,USA,Solar,543.8,365.16,88.64,1821.7,44
2022,USA,Coal,1457.9,302.59,188.49,357.1,802
2022,USA,Natural Gas,1779.9,507.96,148.61,206.3,478
2022,USA,Oil & Gas,516.9,168.59,54.13,81.1,638
2022,USA,Hydropower,351.8,105.68,94.71,101,4
2022,USA,Nuclear,863.4,123.2,369.73,293.7,12
2022,USA,Wind,733.6,299.09,139.81,997.8,11
2022,USA,Solar,693.8,465.89,109.6,2262.6,45
2023,USA,Coal,1447.1,300.35,188.25,368.9,820
2023,USA,Natural Gas,1747.3,498.66,148.28,190.3,497
2023,USA,Oil & Gas,508.4,165.82,52.02,81.7,634
