age_group,gender,region,diet_type,bmi,sleep_hours,health_score
45-54,Male,West,Omnivore,39.98,7.23,84.4
25-34,Female,Northeast,Vegan,19.82,9.05,94.65
35-44,Male,West,Keto,29.16,9.24,74.52
18-24,Male,West,Vegetarian,39.95,8.2,83.39
25-34,Male,Southwest,Omnivore,39.73,9.68,33.64
25-34,Female,West,Vegetarian,27.73,7.6,89.28
25-34,Female,Southwest,Vegetarian,38.38,9.02,46.41
18-24,Female,Midwest,Omnivore,25.63,9.45,44.35
18-24,Male,Southwest,Keto,20.39,7.46,54.4
55+,Male,West,Vegetarian,35.32,4.13,84.19
45-54,Male,Midwest,Vegan,26.53,5.27,49.89
35-44,Female,Northeast,Vegetarian,27.68,4.82,80.9
45-54,Female,Midwest,Keto,34.89,9.99,74.67
45-54,Male,West,Vegan,22.32,8.29,84.53
25-34,Male,Northeast,Keto,40.7,6.64,56.76
45-54,Female,Southeast,Keto,20.94,8.97,34.48
55+,Male,West,Omnivore,30.16,4.76,83.6
18-24,Female,Northeast,Vegetarian,39.95,8.17,94.65
35-44,Male,Southeast,Keto,39.14,7.09,49.31
45-54,Male,Midwest,Vegetarian,29.49,7.74,52.15
35-44,Female,West,Omnivore,36.85,5.36,66.01
25-34,Female,Midwest,Vegetarian,41.67,7.73,58.22
35-44,Male,West,Keto,38.12,7.7,44.19
55+,Male,Northeast,Vegetarian,21.68,5.2,74.65
55+,Male,West,Vegan,41.42,9.39,55.98
25-34,Female,Midwest,Omnivore,39.37,9.56,99.9
35-44,Male,West,Vegetarian,39.58,9.3,39.53
35-44,Male,Northeast,Omnivore,36.5,9.32,85.71
35-44,Female,West,Keto,30.35,7.93,91.85
25-34,Female,Midwest,Keto,34.92,5.63,43.12
55+,Female,West,Vegetarian,18.06,5.66,65.89
55+,Female,West,Vegan,16.28,7.15,52.12
18-24,Male,West,Omnivore,36.29,9.31,72.95
55+,Male,West,Keto,24.53,5.75,90.67
18-24,Female,Southwest,Omnivore,36.27,9.76,87.32
25-34,Male,West,Vegan,22.37,7.95,37.01
