region,category,subcategory,channel,revenue,units,profit
East,Sports,Outdoor,Online,8633.1,35,1924.19
South,Electronics,Phones,Mobile,2914,62,908.44
North,Beauty,Skincare,Online,1658.58,14,304.01
South,Electronics,Accessories,Online,20173.28,118,2915.31
South,Clothing,Kids,In-Store,48391.84,112,12436.07
South,Groceries,Bakery,Online,8218.28,196,1550.73
South,Beauty,Skincare,Online,49604.1,138,19935.79
South,Electronics,Phones,Online,66951.03,141,15199.62
West,Groceries,Bakery,In-Store,35255.9,82,9534.49
West,Sports,Gym,Mobile,27783,70,6997.41
East,Groceries,Bakery,Mobile,8310.28,101,2373.85
North,Groceries,Dairy,Online,53950.6,110,9903.29
West,Groceries,Bakery,In-Store,38644.86,114,8845.31
South,Furniture,Living Room,In-Store,1976.52,52,288.56
West,Furniture,Living Room,In-Store,5224.2,20,1358.4
East,Clothing,Men,In-Store,36551.56,148,10919.87
North,Furniture,Living Room,In-Store,16659.45,45,5708.52
East,Clothing,Women,Online,17675.86,127,4583.35
West,Sports,Team Sports,In-Store,25887.68,182,9936.28
North,Furniture,Living Room,Online,603.57,93,138.89
South,Clothing,Men,Mobile,30938.27,131,7128.14
South,Beauty,Skincare,In-Store,56180.36,172,4555.56
West,Clothing,Women,Online,32895.3,94,7987.43
East,Electronics,Phones,Mobile,60940.38,139,21286.62
North,Sports,Team Sports,In-Store,17453.92,188,3919.71
North,Sports,Outdoor,Online,58313.4,170,23333.84
West,Clothing,Women,Mobile,62147.54,182,13268.1
East,Electronics,Tablets,Mobile,39755.28,151,4121.65
North,Clothing,Kids,In-Store,7031.71,119,1333.26
North,Groceries,Produce,Mobile,24558.88,68,1762.66
South,Electronics,Accessories,Online,121,22,19
West,Groceries,Produce,In-Store,9682.35,85,1344.16
East,Groceries,Bakery,In-Store,20706.2,76,8755.67
East,Furniture,Bedroom,In-Store,36850.8,82,14952.27
South,Groceries,Produce,In-Store,9280.92,158,1942.29
North,Furniture,Office,Online,10750.96,152,1199.06
South,Groceries,Dairy,In-Store,1051.08,76,441.44
East,Groceries,Dairy,Mobile,2885.6,40,222.22
East,Furniture,Bedroom,Online,14908.4,52,5956.31
West,Clothing,Kids,Mobile,46711.95,109,20089.92
East,Furniture,Office,Online,6050.64,24,2105.99
South,Electronics,Phones,Mobile,388.28,68,32.14
East,Beauty,Makeup,Online,40644.45,115,13483.69
North,Clothing,Women,Mobile,79359.52,178,5607.11
North,Sports,Team Sports,In-Store,1860.32,112,349.88
North,Groceries,Produce,Online,13723.02,43,5288.1
South,Furniture,Living Room,In-Store,23320.58,146,2169.83
South,Furniture,Bedroom,Online,9119.46,42,3623.99
North,Groceries,Dairy,Online,8338.58,41,1431.86
East,Furniture,Office,Mobile,28412.44,94,12286.34
