year,month,index_name,country,close,monthly_return_pct,volatility_pct,market_phase
2000,Jan,S&P 500,USA,1363.71,-0.44,3.24,Dot-com Peak
2000,Feb,S&P 500,USA,1375.46,-0.91,3.48,Dot-com Peak
2000,Mar,S&P 500,USA,1337.82,-0.17,2.45,Dot-com Peak
2000,Apr,S&P 500,USA,1339.11,-0.46,2.51,Dot-com Peak
2000,May,S&P 500,USA,1368.14,-0.48,2.15,Dot-com Peak
2000,Jun,S&P 500,USA,1338.72,-0.75,4.34,Dot-com Peak
2000,Jul,S&P 500,USA,1333.81,-0.35,3.25,Dot-com Peak
2000,Aug,S&P 500,USA,1317.65,-0.77,1.84,Dot-com Peak
2000,Sep,S&P 500,USA,1328.34,0.4,3.64,Dot-com Peak
2000,Oct,S&P 500,USA,1323.05,0,3.93,Dot-com Peak
2000,Nov,S&P 500,USA,1356.78,0.54,3.66,Dot-com Peak
2000,Dec,S&P 500,USA,1355.83,0.96,3.08,Dot-com Peak
2001,Jan,S&P 500,USA,1307.27,0.79,3.11,Dot-com Crash
2001,Feb,S&P 500,USA,1329.78,-0.83,2.81,Dot-com Crash
2001,Mar,S&P 500,USA,1350.44,-0.81,2.7,Dot-com Crash
2001,Apr,S&P 500,USA,1368.22,0.93,4.04,Dot-com Crash
2001,May,S&P 500,USA,1352.23,-0.95,2.63,Dot-com Crash
2001,Jun,S&P 500,USA,1353.64,-0.93,3.5,Dot-com Crash
2001,Jul,S&P 500,USA,1323.85,0.33,4.04,Dot-com Crash
2001,Aug,S&P 500,USA,1322.42,0.96,4.55,Dot-com Crash
2001,Sep,S&P 500,USA,1290.99,0.53,3.5,Dot-com Crash
2001,Oct,S&P 500,USA,1276.5,-0.69,1.99,Dot-com Crash
2001,Nov,S&P 500,USA,1261.86,-0.37,2.14,Dot-com Crash
2001,Dec,S&P 500,USA,1241.17,0.37,2.79,Dot-com Crash
2002,Jan,S&P 500,USA,1235.84,-0.3,2.04,Dot-com Crash
2002,Feb,S&P 500,USA,1191.85,0.66,3.91,Dot-com Crash
2002,Mar,S&P 500,USA,1155.82,-0.34,3.84,Dot-com Crash
2002,Apr,S&P 500,USA,1163.75,0.35,2.61,Dot-com Crash
2002,May,S&P 500,USA,1122.63,-0.35,1.82,Dot-com Crash
2002,Jun,S&P 500,USA,1078.15,-0.45,1.54,Dot-com Crash
2002,Jul,S&P 500,USA,1068.11,0.32,2,Dot-com Crash
2002,Aug,S&P 500,USA,1020.21,0.33,2.96,Dot-com Crash
2002,Sep,S&P 500,USA,1010.41,-0.03,3.65,Dot-com Crash
2002,Oct,S&P 500,USA,998.33,0.43,3.18,Dot-com Crash
2002,Nov,S&P 500,USA,949.47,-0.43,3.17,Dot-com Crash
2002,Dec,S&P 500,USA,925.79,0.39,1.53,Dot-com Crash
2003,Jan,S&P 500,USA,947.86,0.66,4.12,Recovery
2003,Feb,S&P 500,USA,958.25,0.68,4.07,Recovery
2003,Mar,S&P 500,USA,1002.39,0.15,2.6,Recovery
2003,Apr,S&P 500,USA,1015.67,0.05,1.08,Recovery
2003,May,S&P 500,USA,1022.56,0.87,2.17,Recovery
2003,Jun,S&P 500,USA,1053.18,0.81,3.33,Recovery
2003,Jul,S&P 500,USA,1098.77,-0.6,2.48,Recovery
2003,Aug,S&P 500,USA,1126.86,-0.59,4.26,Recovery
2003,Sep,S&P 500,USA,1149.2,0.66,4.23,Recovery
2003,Oct,S&P 500,USA,1200.04,0.53,2.99,Recovery
2003,Nov,S&P 500,USA,1212.23,0.74,1.6,Recovery
2003,Dec,S&P 500,USA,1219.43,-0.23,4.15,Recovery
2004,Jan,S&P 500,USA,1236.46,-0.18,2.98,Bull Market
2004,Feb,S&P 500,USA,1247.22,0.92,2.43,Bull Market
2004,Mar,S&P 500,USA,1251.66,0.79,3.68,Bull Market
2004,Apr,S&P 500,USA,1251,0.61,2.05,Bull Market
2004,May,S&P 500,USA,1226.21,-0.77,3.87,Bull Market
2004,Jun,S&P 500,USA,1200.92,-0.46,3.39,Bull Market
2004,Jul,S&P 500,USA,1211.55,-0.84,3.03,Bull Market
2004,Aug,S&P 500,USA,1232.12,0.9,3.64,Bull Market
2004,Sep,S&P 500,USA,1259.44,0.82,2.63,Bull Market
2004,Oct,S&P 500,USA,1304.69,-0.9,4.13,Bull Market
2004,Nov,S&P 500,USA,1275.84,-0.91,3.17,Bull Market
2004,Dec,S&P 500,USA,1269.27,-0.9,3.72,Bull Market
2005,Jan,S&P 500,USA,1241.22,0.66,4.22,Bull Market
2005,Feb,S&P 500,USA,1209.05,0.37,1.33,Bull Market
2005,Mar,S&P 500,USA,1203.99,-0.22,1.83,Bull Market
2005,Apr,S&P 500,USA,1236.74,0.04,2.08,Bull Market
2005,May,S&P 500,USA,1263.37,-0.31,1.93,Bull Market
2005,Jun,S&P 500,USA,1282.42,-0.91,4.27,Bull Market
2005,Jul,S&P 500,USA,1281.09,-0.73,1.72,Bull Market
2005,Aug,S&P 500,USA,1269.15,-0.13,2.95,Bull Market
2005,Sep,S&P 500,USA,1277.39,-0.08,2.54,Bull Market
2005,Oct,S&P 500,USA,1247.38,0.79,2.41,Bull Market
2005,Nov,S&P 500,USA,1247.98,-0.83,3.86,Bull Market
2005,Dec,S&P 500,USA,1253.87,-0.1,2.61,Bull Market
2006,Jan,S&P 500,USA,1291.84,-0.47,2.4,Bull Market
2006,Feb,S&P 500,USA,1315.26,0.85,2.64,Bull Market
2006,Mar,S&P 500,USA,1366.52,0.53,2.18,Bull Market
2006,Apr,S&P 500,USA,1413.8,0.66,2.26,Bull Market
2006,May,S&P 500,USA,1400.11,0.07,1.58,Bull Market
2006,Jun,S&P 500,USA,1437.78,-0.62,2.63,Bull Market
2006,Jul,S&P 500,USA,1422.68,-0.96,1.97,Bull Market
2006,Aug,S&P 500,USA,1419.8,0.58,1.61,Bull Market
2006,Sep,S&P 500,USA,1469.61,-0.61,2.03,Bull Market
2006,Oct,S&P 500,USA,1486.62,-0.8,2.42,Bull Market
2006,Nov,S&P 500,USA,1510.69,-0.42,2.37,Bull Market
2006,Dec,S&P 500,USA,1538.65,0.33,1.77,Bull Market
2007,Jan,S&P 500,USA,1553.45,-0.5,1.54,Pre-GFC Peak
2007,Feb,S&P 500,USA,1586.5,0.98,3.42,Pre-GFC Peak
2007,Mar,S&P 500,USA,1588.74,-0.04,2.7,Pre-GFC Peak
2007,Apr,S&P 500,USA,1597.45,0.86,4.65,Pre-GFC Peak
2007,May,S&P 500,USA,1603.44,-0.23,3.94,Pre-GFC Peak
2007,Jun,S&P 500,USA,1633.45,0.98,3.65,Pre-GFC Peak
2007,Jul,S&P 500,USA,1624.42,-0.89,2.02,Pre-GFC Peak
2007,Aug,S&P 500,USA,1592.49,-0.8,2.37,Pre-GFC Peak
2007,Sep,S&P 500,USA,1561.97,0.06,3.82,Pre-GFC Peak
2007,Oct,S&P 500,USA,1579.84,0.16,2.75,Pre-GFC Peak
2007,Nov,S&P 500,USA,1626.35,0.35,2.32,Pre-GFC Peak
2007,Dec,S&P 500,USA,1676.49,-0.45,2.77,Pre-GFC Peak
2008,Jan,S&P 500,USA,1593.79,0.86,10.48,Global Financial Crisis
2008,Feb,S&P 500,USA,1518.43,-0.51,8.95,Global Financial Crisis
2008,Mar,S&P 500,USA,1428.9,0.12,9.7,Global Financial Crisis
2008,Apr,S&P 500,USA,1338.38,0.8,11.25,Global Financial Crisis
2008,May,S&P 500,USA,1252.52,0.69,10.52,Global Financial Crisis
2008,Jun,S&P 500,USA,1172.93,0,8.6,Global Financial Crisis
2008,Jul,S&P 500,USA,1122.58,0.96,10.86,Global Financial Crisis
2008,Aug,S&P 500,USA,1071.6,-0.9,10.52,Global Financial Crisis
2008,Sep,S&P 500,USA,1029.71,-0.59,9.79,Global Financial Crisis
2008,Oct,S&P 500,USA,963.36,-0.8,9.39,Global Financial Crisis
2008,Nov,S&P 500,USA,914.77,-0.71,9.62,Global Financial Crisis
2008,Dec,S&P 500,USA,859.29,0.89,9.86,Global Financial Crisis
2009,Jan,S&P 500,USA,895.97,-0.33,3.98,GFC Recovery
2009,Feb,S&P 500,USA,910.33,-0.94,4.03,GFC Recovery
2009,Mar,S&P 500,USA,943.83,0.85,2.81,GFC Recovery
2009,Apr,S&P 500,USA,974.63,0.49,2.38,GFC Recovery
2009,May,S&P 500,USA,980.44,0.51,3.11,GFC Recovery
2009,Jun,S&P 500,USA,976.11,0.5,3.58,GFC Recovery
2009,Jul,S&P 500,USA,970.97,0.57,3.27,GFC Recovery
2009,Aug,S&P 500,USA,992.23,0.46,3.27,GFC Recovery
2009,Sep,S&P 500,USA,1024.91,-0.09,2.62,GFC Recovery
2009,Oct,S&P 500,USA,1041.77,-0.61,3.28,GFC Recovery
2009,Nov,S&P 500,USA,1082.87,0.4,1.89,GFC Recovery
2009,Dec,S&P 500,USA,1074.05,-0.02,3.62,GFC Recovery
2010,Jan,S&P 500,USA,1095.3,-0.01,1.41,Bull Market
2010,Feb,S&P 500,USA,1100.39,-0.79,1.69,Bull Market
2010,Mar,S&P 500,USA,1135.06,0.15,4.11,Bull Market
2010,Apr,S&P 500,USA,1131.31,-0.04,3.67,Bull Market
2010,May,S&P 500,USA,1141.7,-0.04,1.39,Bull Market
2010,Jun,S&P 500,USA,1162.15,0.31,3.71,Bull Market
2010,Jul,S&P 500,USA,1207.51,0.37,1.32,Bull Market
2010,Aug,S&P 500,USA,1197.78,-0.29,1.96,Bull Market
2010,Sep,S&P 500,USA,1220.34,0.6,1.99,Bull Market
2010,Oct,S&P 500,USA,1226.42,-0.44,1.44,Bull Market
2010,Nov,S&P 500,USA,1274.92,0.67,3.93,Bull Market
2010,Dec,S&P 500,USA,1308.24,0.34,3.18,Bull Market
2011,Jan,S&P 500,USA,1307.67,-0.13,3.6,Euro Debt Crisis
2011,Feb,S&P 500,USA,1339.51,0.43,1.36,Euro Debt Crisis
2011,Mar,S&P 500,USA,1337.28,-0.35,2.59,Euro Debt Crisis
2011,Apr,S&P 500,USA,1328.03,-0.95,2.8,Euro Debt Crisis
2011,May,S&P 500,USA,1343.2,0.34,3.93,Euro Debt Crisis
2011,Jun,S&P 500,USA,1348.84,-0.7,3.33,Euro Debt Crisis
2011,Jul,S&P 500,USA,1337.04,0.53,3.18,Euro Debt Crisis
2011,Aug,S&P 500,USA,1367.62,-0.07,2.94,Euro Debt Crisis
2011,Sep,S&P 500,USA,1336.59,-0.08,3.02,Euro Debt Crisis
2011,Oct,S&P 500,USA,1369.73,0.57,2.2,Euro Debt Crisis
2011,Nov,S&P 500,USA,1366.5,0.27,1.76,Euro Debt Crisis
2011,Dec,S&P 500,USA,1370.01,0.96,3.08,Euro Debt Crisis
2012,Jan,S&P 500,USA,1370.28,0.98,2.62,Recovery
2012,Feb,S&P 500,USA,1361.67,0.44,4.17,Recovery
2012,Mar,S&P 500,USA,1352.33,0.05,2.82,Recovery
2012,Apr,S&P 500,USA,1376.06,-0.59,3.23,Recovery
2012,May,S&P 500,USA,1374.54,0.97,3.75,Recovery
2012,Jun,S&P 500,USA,1378.76,-0.33,2.62,Recovery
2012,Jul,S&P 500,USA,1399.51,-0.77,2.54,Recovery
2012,Aug,S&P 500,USA,1451.54,0.43,3.95,Recovery
2012,Sep,S&P 500,USA,1425.63,0.67,4.42,Recovery
2012,Oct,S&P 500,USA,1450.18,-0.52,2.34,Recovery
2012,Nov,S&P 500,USA,1508.57,-0.7,3.15,Recovery
2012,Dec,S&P 500,USA,1550.07,-0.01,2.49,Recovery
2013,Jan,S&P 500,USA,1619.28,-0.52,2.35,Bull Market
2013,Feb,S&P 500,USA,1621.31,0.68,1.85,Bull Market
2013,Mar,S&P 500,USA,1679.59,0.77,3.08,Bull Market
2013,Apr,S&P 500,USA,1767.9,0.77,1.91,Bull Market
2013,May,S&P 500,USA,1788.87,0.4,3.02,Bull Market
2013,Jun,S&P 500,USA,1841,0.47,2.99,Bull Market
2013,Jul,S&P 500,USA,1893.15,0.4,3.94,Bull Market
2013,Aug,S&P 500,USA,1901.78,-0.92,3.11,Bull Market
2013,Sep,S&P 500,USA,1929.7,0.89,2.17,Bull Market
2013,Oct,S&P 500,USA,2023.03,-0.99,2.25,Bull Market
2013,Nov,S&P 500,USA,2024.13,-0.19,2.38,Bull Market
2013,Dec,S&P 500,USA,2128.62,0.32,3.59,Bull Market
2014,Jan,S&P 500,USA,2173.71,0.65,3.69,Bull Market
2014,Feb,S&P 500,USA,2193.63,-0.61,3.47,Bull Market
2014,Mar,S&P 500,USA,2209.1,-0.02,3.32,Bull Market
2014,Apr,S&P 500,USA,2207.89,0.6,1.93,Bull Market
2014,May,S&P 500,USA,2261.68,-0.4,2.08,Bull Market
2014,Jun,S&P 500,USA,2265.01,-0.09,2.65,Bull Market
2014,Jul,S&P 500,USA,2258.71,-0.28,2.47,Bull Market
2014,Aug,S&P 500,USA,2228.64,-0.11,2.48,Bull Market
2014,Sep,S&P 500,USA,2182.36,0.79,4.15,Bull Market
2014,Oct,S&P 500,USA,2181.84,1,3.9,Bull Market
2014,Nov,S&P 500,USA,2171.47,0.98,4.2,Bull Market
2014,Dec,S&P 500,USA,2156.24,0.9,2.26,Bull Market
2015,Jan,S&P 500,USA,2120.95,0.42,3.03,Volatility
2015,Feb,S&P 500,USA,2121.56,0.46,4.03,Volatility
2015,Mar,S&P 500,USA,2117.3,-0.18,3.28,Volatility
2015,Apr,S&P 500,USA,2085.05,0.49,3.31,Volatility
2015,May,S&P 500,USA,2119.39,0.53,2.01,Volatility
2015,Jun,S&P 500,USA,2069.54,-0.06,3.39,Volatility
2015,Jul,S&P 500,USA,2082,-0.11,1.3,Volatility
2015,Aug,S&P 500,USA,2126.43,-0.11,3.47,Volatility
2015,Sep,S&P 500,USA,2132.33,0.92,2.7,Volatility
2015,Oct,S&P 500,USA,2114.9,0.37,4.01,Volatility
2015,Nov,S&P 500,USA,2129.95,-0.62,2.24,Volatility
2015,Dec,S&P 500,USA,2149.77,0.74,4.43,Volatility
2016,Jan,S&P 500,USA,2121.35,-0.63,3.92,Recovery
2016,Feb,S&P 500,USA,2109.08,0.57,2.33,Recovery
2016,Mar,S&P 500,USA,2118.68,0.55,2.4,Recovery
2016,Apr,S&P 500,USA,2101.76,0.88,2.78,Recovery
2016,May,S&P 500,USA,2130.83,0.28,2.37,Recovery
2016,Jun,S&P 500,USA,2122.31,-0.91,3.76,Recovery
2016,Jul,S&P 500,USA,2128.78,0.05,3.69,Recovery
2016,Aug,S&P 500,USA,2098.85,-0.42,3.13,Recovery
2016,Sep,S&P 500,USA,2074.79,-0.69,2.94,Recovery
2016,Oct,S&P 500,USA,2072.31,0.73,1.62,Recovery
2016,Nov,S&P 500,USA,2131.87,-0.99,4.06,Recovery
2016,Dec,S&P 500,USA,2120.32,0.48,3.86,Recovery
2017,Jan,S&P 500,USA,2104.46,-0.63,2.89,Bull Market
2017,Feb,S&P 500,USA,2192.14,0.17,3.56,Bull Market
2017,Mar,S&P 500,USA,2219.99,-0.47,2.43,Bull Market
2017,Apr,S&P 500,USA,2316.14,-0.28,3.01,Bull Market
2017,May,S&P 500,USA,2398.87,-0.83,2.22,Bull Market
2017,Jun,S&P 500,USA,2427.33,0.88,4.54,Bull Market
2017,Jul,S&P 500,USA,2490.41,-0.18,2.69,Bull Market
2017,Aug,S&P 500,USA,2478.23,0.6,3.77,Bull Market
2017,Sep,S&P 500,USA,2465.15,-0.89,3.81,Bull Market
2017,Oct,S&P 500,USA,2455.9,-0.96,3.42,Bull Market
2017,Nov,S&P 500,USA,2451.08,0.78,4.53,Bull Market
2017,Dec,S&P 500,USA,2470.62,-0.48,4.2,Bull Market
2018,Jan,S&P 500,USA,2431.59,-0.54,2.02,Trade War Jitters
2018,Feb,S&P 500,USA,2417.01,-0.06,3.12,Trade War Jitters
2018,Mar,S&P 500,USA,2364.78,0.54,3.75,Trade War Jitters
2018,Apr,S&P 500,USA,2306.69,-0.75,2.82,Trade War Jitters
2018,May,S&P 500,USA,2230.01,-0.98,2.97,Trade War Jitters
