school_type,grade_level,subject,gender,score,study_hours,pass_rate
Private,Grade 7,PE,Male,65.28,6.18,0.636
Charter,Grade 7,Math,Female,96.5,7.9,0.984
Private,Grade 11,Music,Female,90.26,1.72,0.921
Public,Grade 9,Art,Male,82.82,5.51,0.768
Private,Grade 11,PE,Female,69.31,4.36,0.615
Charter,Grade 7,PE,Female,70.74,1.57,0.699
Private,Grade 10,English,Female,40.9,4.62,0.466
Charter,Grade 7,Science,Female,59.64,5.67,0.667
Private,Grade 9,Music,Female,45,2.1,0.417
Public,Grade 6,Science,Male,76.87,0.54,0.826
Charter,Grade 10,Math,Female,60.53,5.94,0.655
Charter,Grade 8,History,Female,67.19,1.51,0.749
Charter,Grade 6,History,Female,64.52,7.78,0.557
Charter,Grade 11,Science,Male,86.41,2.65,0.889
Private,Grade 8,Art,Female,73.73,7.54,0.66
Charter,Grade 6,History,Female,94.6,1.6,0.903
Private,Grade 6,Music,Female,58.85,7.97,0.549
Charter,Grade 9,Science,Female,70.28,4.06,0.699
Private,Grade 9,Music,Male,68.17,4.45,0.611
Public,Grade 8,History,Male,55.83,0.78,0.515
Public,Grade 10,Art,Female,72.44,3.94,0.656
Private,Grade 6,Computer Science,Male,40.83,1.69,0.462
Public,Grade 10,PE,Male,90.55,2.23,0.903
Charter,Grade 11,Computer Science,Male,51.78,4.07,0.464
Charter,Grade 6,Computer Science,Female,83.93,1.13,0.842
Public,Grade 9,History,Female,69.29,3.59,0.776
Private,Grade 10,Music,Male,74.55,5.44,0.738
Charter,Grade 11,PE,Male,77.9,1.89,0.878
Charter,Grade 6,Art,Female,65.06,4.96,0.6
Private,Grade 9,Computer Science,Female,60.36,7.7,0.576
Charter,Grade 7,Computer Science,Male,67.65,2.37,0.76
Public,Grade 6,English,Male,65.3,5.49,0.61
Private,Grade 7,Art,Male,94.56,3.74,1
Private,Grade 7,English,Female,49.55,4.13,0.437
Public,Grade 8,Music,Male,59.46,2.71,0.629
Charter,Grade 7,Computer Science,Female,53.44,5.34,0.543
Private,Grade 7,Math,Male,95.29,2.54,1
Public,Grade 10,History,Male,60.33,3.89,0.647
Private,Grade 10,Art,Female,46.21,1.26,0.413
Charter,Grade 10,English,Male,59.52,2.15,0.562
Public,Grade 8,PE,Male,86.58,3.56,0.91
Charter,Grade 6,Math,Female,86.51,3.95,0.888
Private,Grade 8,Math,Female,69.93,1.28,0.747
Public,Grade 9,Computer Science,Female,82.8,0.84,0.734
Charter,Grade 9,Math,Male,49.98,2.27,0.435
Private,Grade 7,Math,Male,99.4,2.62,1
Public,Grade 10,Computer Science,Female,64.8,2.5,0.601
Charter,Grade 8,Art,Male,69.15,3.95,0.616
Charter,Grade 11,English,Male,83.54,4.36,0.924
Public,Grade 7,Computer Science,Male,50.52,3.03,0.489
Charter,Grade 9,Art,Male,50.45,5.09,0.45
Private,Grade 11,PE,Female,74.71,3.95,0.816
Charter,Grade 6,English,Male,41.41,6.82,0.331
Charter,Grade 10,Art,Female,46.99,7.38,0.414
Charter,Grade 6,Computer Science,Female,56.28,7.48,0.538
Charter,Grade 6,Math,Female,45.41,2.27,0.521
Private,Grade 8,Science,Female,47.95,4.38,0.554
Public,Grade 11,Science,Male,63.56,4.69,0.642
Private,Grade 7,History,Female,97.49,3.92,1
Charter,Grade 10,Science,Female,74.46,7.94,0.662
Charter,Grade 7,History,Female,40.51,4,0.475
Public,Grade 10,PE,Male,80.39,2.7,0.856
Public,Grade 6,Art,Male,76.74,1.88,0.831
Charter,Grade 9,Science,Male,74.53,1.64,0.797
Public,Grade 7,PE,Male,53.78,2.41,0.619
Private,Grade 11,History,Male,83.06,6.79,0.788
Public,Grade 9,History,Male,72.53,7.87,0.702
Public,Grade 6,English,Male,44.92,4.1,0.452
